GEOID10,County,Year,Poverty_Rate,GDP,Unemployment_Rate,Economic_Index
48001,Anderson County,2021,0.820083682008368,0.4630722758353712,-0.1538461538461538,4.3534618844013
48003,Andrews County,2021,-0.6192468619246861,0.838861419997221,0.2564102564102565,5.148076467167069
48005,Angelina County,2021,0.4853556485355646,0.9664990778922851,0.6153846153846158,4.392446509488038
48007,Aransas County,2021,-0.06694560669456073,-0.11783731002986104,1.025641025641026,3.8594703736211287
48009,Archer County,2021,-0.98744769874477,-0.3061097002703876,-0.4615384615384619,5.114805988492178
48011,Armstrong County,2021,-0.9372384937238494,-0.40887537461470713,-0.8205128205128208,5.231322800570444
48013,Atascosa County,2021,0.1506276150627613,0.7146870591873665,0.46153846153846145,4.526363222093285
48015,Austin County,2021,-0.8535564853556485,0.24643173240006985,0.1538461538461538,5.003529665350037
48017,Bailey County,2021,0.10041841004184125,-0.2587381803416692,-0.1025641025641027,4.323242530597298
48019,Bandera County,2021,-0.6861924686192469,-0.26089349561275693,-0.2051282051282054,4.824955952028319
48021,Bastrop County,2021,-0.6694560669456068,0.7243018501087011,-0.3589743589743592,5.459750818665468
48023,Baylor County,2021,0.35146443514644377,-0.3554224313041917,-0.9230769230769236,4.590656385183682
48025,Bee County,2021,1.9414225941422598,-0.1347069881761515,1.6923076923076927,2.3368833424632958
48027,Bell County,2021,-0.2008368200836819,7.320741773615122,0.3076923076923076,8.548672483508799
48029,Bexar County,2021,-0.11715481171548106,47.185693083840704,0.05128205128205112,31.19466554131856
48031,Blanco County,2021,-1.087866108786611,-0.22639071739493621,-0.9230769230769236,5.477748774030519
48033,Borden County,2021,-0.9372384937238494,-0.24969476639667554,-1.538461538461539,5.727442077469743
48035,Bosque County,2021,-0.38493723849372397,-0.1797423937602693,-0.3076923076923081,4.758473312784817
48037,Bowie County,2021,0.38493723849372397,1.1646323707116315,0.3589743589743592,4.706342439913268
48039,Brazoria County,2021,-1.087866108786611,6.527930050655099,0.8205128205128206,8.31190353140951
48041,Brazos County,2021,1.188284518828452,4.328901629408397,-0.5641025641025645,6.563828117014266
48043,Brewster County,2021,-0.3682008368200836,-0.2546416539654957,-0.3076923076923081,4.706642622653622
48045,Briscoe County,2021,-0.13389121338912147,-0.3842045192199039,-0.2051282051282054,4.442818147212392
48047,Brooks County,2021,2.192468619246862,-0.30760107636003453,2.0000000000000004,1.9230595917065354
48049,Brown County,2021,-0.03347280334728022,0.18419316521110077,0.0,4.591491186094646
48051,Burleson County,2021,-0.1841004184100418,0.0037327655608042315,-0.1538461538461538,4.6616352586355925
48053,Burnet County,2021,-0.9372384937238494,0.37432631529433646,-0.7179487179487184,5.616303005416384
48055,Caldwell County,2021,-0.4518828451882844,0.010517921221561586,-0.1538461538461538,4.816935356803476
48057,Calhoun County,2021,-0.15062761506276157,0.9908005495340261,-0.1538461538461538,5.201004811253884
48059,Callahan County,2021,-0.5690376569037657,-0.2999197109377492,-0.2564102564102565,4.765623305805918
48061,Cameron County,2021,1.5230125523012557,4.634504832752747,1.4358974358974363,5.416120574431931
48063,Camp County,2021,0.2008368200836819,-0.269478423868938,0.3589743589743592,3.999315294152957
48065,Carson County,2021,-1.0711297071129708,-0.014249389181359746,-0.6666666666666671,5.443243121056248
48067,Cass County,2021,0.4518828451882844,-0.004490132014682355,0.717948717948718,3.8041592698416324
48069,Castro County,2021,0.11715481171548106,-0.14110329606875555,-0.8717948717948723,4.815402446300289
48071,Chambers County,2021,-0.8535564853556485,0.6555584090762865,1.4871794871794874,4.480782649000616
48073,Cherokee County,2021,0.4351464435146446,0.15982854365373084,0.6153846153846158,3.9645791056083186
48075,Childress County,2021,0.9372384937238497,-0.32147718898531386,-0.8205128205128208,4.220520611576468
48077,Clay County,2021,-0.8033472803347282,-0.33502371095505057,-0.1025641025641027,4.791279393877574
48079,Cochran County,2021,0.9707112970711299,-0.3271096424190094,0.5641025641025641,3.4152399830025604
48081,Coke County,2021,-0.06694560669456073,-0.3523285179720443,-0.2051282051282054,4.422982181435947
48083,Coleman County,2021,0.6359832635983265,-0.33780446991106566,0.4102564102564103,3.685536683123781
48085,Collin County,2021,-1.489539748953975,32.972937341550754,-0.4102564102564103,24.192987262061266
48087,Collingsworth County,2021,0.23430962343096212,-0.3933712052604745,-0.4102564102564103,4.345396657338725
48089,Colorado County,2021,-0.5188284518828452,-0.04438833521575591,-0.2051282051282054,4.852751019336634
48091,Comal County,2021,-1.707112970711297,2.911835256576269,-0.3076923076923081,7.254967354472222
48093,Comanche County,2021,0.10041841004184125,-0.24884440520402884,-0.3076923076923081,4.444862622623119
48095,Concho County,2021,-0.10041841004184095,-0.3734197247247599,-0.4615384615384619,4.575015428724526
48097,Cooke County,2021,-0.4184100418410042,0.5199374772581907,-0.05128205128205157,5.028126939231156
48099,Coryell County,2021,-0.31799163179916323,0.29827002752536136,0.2564102564102565,4.671913687969638
48101,Cottle County,2021,0.5523012552301256,-0.3976238762910454,-0.4102564102564103,4.163129794590581
48103,Crane County,2021,-0.702928870292887,-0.1837636592780905,2.1025641025641035,3.5727782444691005
48105,Crockett County,2021,-0.15062761506276157,-0.17601308846881458,0.717948717948718,4.0479331380245664
48107,Crosby County,2021,1.288702928870293,-0.325219902820498,0.20512820512820493,3.439489379961633
48109,Culberson County,2021,0.6861924686192471,0.6374685534506185,-0.2051282051282054,4.556840537916115
48111,Dallam County,2021,-0.8368200836820084,-0.13835540967156096,-1.2820512820512826,5.588589145302355
48113,Dallas County,2021,-0.1841004184100418,122.24625720506475,0.20512820512820493,73.60104581982819
48115,Dawson County,2021,0.9707112970711299,-0.15370516450607088,0.8205128205128206,3.3682905018051623
48117,Deaf Smith County,2021,0.30125523012552313,0.17488114785784997,-0.7692307692307695,4.831986293790017
48119,Delta County,2021,0.050209205020920626,-0.38386800802566223,-0.1538461538461538,4.309872152261258
48121,Denton County,2021,-1.3556485355648535,18.398289761873997,-0.4102564102564103,15.873587359937977
48123,DeWitt County,2021,0.26778242677824293,0.9767492607729269,-0.1538461538461538,4.956397321543254
48125,Dickens County,2021,0.8702928870292886,-0.39115620034310733,0.0,3.754878533766411
48127,Dimmit County,2021,1.707112970711297,0.5830328936448369,0.1538461538461538,3.7455587809150677
48129,Donley County,2021,0.23430962343096212,-0.37375710098633896,-0.512820512820513,4.414502730777565
48131,Duval County,2021,2.4267782426778246,-0.29139317472684145,1.4358974358974363,2.118763557552695
48133,Eastland County,2021,0.502092050209205,-0.11793592770632262,0.2564102564102565,3.9726472256953755
